500,25,49528.040000,18020.060440
500,50,124268.850000,33794.762376
500,75,133724.690000,49676.666205
500,100,189428.360000,61092.961780
550,25,79296.210000,21790.379111
550,50,123947.580000,37463.485892
550,75,233932.460000,54560.611576
550,100,265335.140000,80172.764662
600,25,99784.660000,24118.454903
600,50,150514.670000,51945.545914
600,75,277353.530000,71114.493518
600,100,346769.100000,96729.042929
650,25,144242.460000,27940.831756
650,50,237667.590000,52431.152358
650,75,419890.790000,79735.411325
650,100,567868.700000,101120.463068
700,25,171004.140000,32839.758108
700,50,352833.830000,61434.647724
700,75,468605.430000,93022.043535
700,100,631338.970000,115740.147072
750,25,204678.680000,40377.760923
750,50,335909.630000,75086.179001
750,75,677961.390000,112905.559413
750,100,728559.590000,144825.984607
800,25,287615.920000,42469.882619
800,50,475539.430000,90130.854498
800,75,659561.180000,120442.272764
800,100,1002427.250000,159456.731995
850,25,352624.710000,46436.423502
850,50,585238.870000,93899.925983
850,75,862980.690000,148680.331447
850,100,1256129.540000,186475.476120
900,25,333553.320000,58289.213916
900,50,591662.410000,97444.207728
900,75,1038611.080000,154816.456571
900,100,1384362.260000,218625.671938
950,25,496526.670000,64694.394165
950,50,888589.900000,120072.755927
950,75,1405904.480000,172809.794930
950,100,1773899.310000,233462.844598
1000,25,478607.670000,75105.976267
1000,50,968176.870000,131045.256510
1000,75,1456499.010000,187001.581863
1000,100,2062997.770000,268622.906112
