500,25,22378.360000,8253.943646
500,50,54194.100000,16426.203809
500,75,76054.600000,27010.955701
500,100,99338.170000,31594.840068
550,25,37634.240000,10923.095143
550,50,82271.460000,18975.384925
550,75,93737.970000,30381.954947
550,100,154285.010000,38274.611183
600,25,47227.260000,13672.246931
600,50,88318.130000,24208.726337
600,75,141888.450000,32484.900645
600,100,167657.670000,49182.921258
650,25,73874.200000,14936.258826
650,50,162093.350000,28857.031961
650,75,164393.180000,43682.675077
650,100,270966.210000,54173.613349
700,25,97285.060000,16753.484873
700,50,184732.670000,35420.383558
700,75,262839.350000,44767.547866
700,100,343537.720000,56524.304962
750,25,89401.080000,18576.964854
750,50,154540.630000,35270.841442
750,75,285977.510000,52364.841189
750,100,391547.280000,62226.499254
800,25,140368.060000,23885.235263
800,50,241637.900000,44445.448243
800,75,420929.610000,55303.530181
800,100,573162.830000,79753.949874
850,25,144382.280000,26934.674942
850,50,303669.460000,50445.742709
850,75,422187.780000,71040.705405
850,100,520736.210000,87194.149845
900,25,180529.560000,29246.275301
900,50,376973.730000,55889.143282
900,75,566284.790000,75565.427294
900,100,906346.160000,103091.378631
950,25,193626.850000,30101.545661
950,50,572431.310000,56965.098487
950,75,625147.390000,83207.388050
950,100,907991.350000,114462.163931
1000,25,270776.560000,36511.280587
1000,50,516194.290000,65166.072554
1000,75,572328.370000,99198.620539
1000,100,941928.040000,123731.747823
